,N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
1096,Down,Neutral,Down,Down,Down,Dry,Neutral,Dry,Dry,Clear,PC,Clear,Clear,Weak,Strong,Westerly,Weak,None,Strong,Marked,IncCapDecIns,Increasing,WeakPos,Increasing,SVR,May15_Jun14,A,AB,PartInhibit,LessThanAve,MoreThanAve,ABI,N5GtLIGt_8,Instability,LessUnstable,MoreUnstable,ACEFK,Stifling,Moderate,Moderate,A,SIG,SIG,SVR,LowAtStation,ModerateOrLe,VeryMoist,ModerateOrLe,StrongFront,DryMMoistL,DenvCyclone,LittleChange,QStationary,SWQuad,LVorOther,DenvCyclone
829,WeakUp,Neutral,WeakUp,WeakUp,WeakUp,Neutral,Neutral,Neutral,Neutral,PC,Clear,Clear,Clear,Weak,Weak,Other,None,Weak,None,Some,LittleChange,LittleChange,Neutral,LittleChange,SIG,Jul16_Aug10,G,CThruK,PartInhibit,LessThanAve,LessThanAve,G,LILt_8,Instability,Average,Average,GJ,PartInhibit,Weak,None,G,XNIL,XNIL,SIG,LowSHighN,Steep,Dry,CloseToDryAd,NoMajor,MoistMDryL,None,SigNegative,None,SWQuad,Westerly,LongAnticyc
2805,Down,Neutral,WeakUp,Neutral,Neutral,Wet,Dry,Dry,Neutral,PC,Clear,Clear,Clear,Weak,Strong,DCVZFavor,Weak,Weak,Strong,Marked,IncCapDecIns,Increasing,Negative,Decreasing,SVR,Jun15_Jul1,B,AB,None,LessThanAve,MoreThanAve,ABI,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,B,None,Strong,Strong,B,SVR,SVR,SVR,HighEvrywher,Stable,VeryMoist,Steep,NoMajor,Other,DenvCyclone,LittleChange,None,LV,LVorOther,SEQuad
3829,WeakUp,Neutral,Neutral,WeakUp,WeakUp,VeryWet,Wet,VeryWet,VeryWet,Clear,Clear,Clear,Clear,None,None,Other,None,Weak,Strong,None,LittleChange,LittleChange,WeakPos,Increasing,XNIL,Jul16_Aug10,D,CThruK,PartInhibit,LessThanAve,LessThanAve,CDEJ,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,D,None,Strong,Strong,D,SVR,SVR,SVR,LowMtsHighPl,ModerateOrLe,Average,Steep,NoMajor,Other,DryLine,SigPositive,Moving,AllElse,Westerly,LongAnticyc
4381,Neutral,Neutral,Neutral,Neutral,Neutral,Wet,Dry,Dry,Neutral,Clear,Clear,Clear,Clear,Weak,Strong,Other,None,None,None,None,DecCapIncIns,Decreasing,Neutral,LittleChange,SVR,Jul16_Aug10,E,CThruK,Stifling,Average,LessThanAve,CDEJ,N1GtLIGt_4,Instability,Average,LessUnstable,ACEFK,None,Moderate,Moderate,E,XNIL,XNIL,SVR,LowAtStation,Steep,Dry,ModerateOrLe,NoMajor,MoistMDryL,Other,LittleChange,None,SWQuad,Westerly,WidespdDnsl
3891,Neutral,Down,Neutral,Neutral,Neutral,Dry,VeryWet,Wet,VeryWet,Cloudy,PC,Cloudy,Cloudy,Strong,Strong,DCVZFavor,Strong,Weak,Weak,Marked,IncCapDecIns,Increasing,StrongPos,LittleChange,SIG,Jul16_Aug10,G,CThruK,PartInhibit,LessThanAve,Average,G,N5GtLIGt_8,Neutral,Average,Average,GJ,Stifling,Weak,None,G,XNIL,XNIL,SIG,Other,CloseToDryAd,Dry,CloseToDryAd,NoMajor,MoistMDryL,DryLine,PosToNeg,None,NWQuad,Westerly,WidespdDnsl
764,Neutral,Neutral,Neutral,Neutral,Neutral,Wet,Neutral,Wet,Wet,PC,PC,Clear,PC,Strong,Strong,StrongWest,Weak,Strong,None,Marked,LittleChange,LittleChange,StrongPos,LittleChange,SIG,Aug11_Aug20,C,CThruK,PartInhibit,LessThanAve,LessThanAve,CDEJ,LIGt0,Stability,LessUnstable,LessUnstable,ACEFK,Stifling,Weak,Slight,C,XNIL,XNIL,SIG,LowMtsHighPl,CloseToDryAd,Average,ModerateOrLe,StrongFront,Other,E_W_N,NegToPos,Other,AllElse,LVorOther,LV
2767,StrongUp,Neutral,WeakUp,WeakUp,WeakUp,Neutral,Wet,Neutral,Neutral,PC,PC,Clear,Clear,None,Weak,Other,None,None,Weak,None,LittleChange,LittleChange,Negative,Decreasing,SIG,Jul16_Aug10,F,CThruK,PartInhibit,Average,Average,F,N1GtLIGt_4,Instability,Average,LessUnstable,ACEFK,Stifling,Moderate,Slight,F,XNIL,XNIL,SIG,HighEvrywher,ModerateOrLe,VeryMoist,ModerateOrLe,NoMajor,Other,None,NegToPos,Other,AllElse,LVorOther,SEQuad
4328,WeakUp,StronUp,Neutral,Neutral,Neutral,VeryWet,VeryWet,VeryWet,VeryWet,PC,Clear,Clear,Clear,Weak,Strong,StrongWest,Weak,None,Strong,Marked,DecCapIncIns,Decreasing,Negative,Decreasing,SVR,Aug11_Aug20,K,CThruK,Stifling,Average,LessThanAve,K,LIGt0,Instability,Average,LessUnstable,ACEFK,TotalInhibit,Moderate,Slight,K,XNIL,SIG,SVR,HighEvrywher,Stable,VeryMoist,ModerateOrLe,StrongFront,DryMMoistL,None,SigNegative,None,AllElse,LVorOther,E_NE
3295,Down,StronUp,Neutral,Neutral,Neutral,VeryWet,Dry,Wet,Neutral,PC,Cloudy,Cloudy,Cloudy,Weak,Strong,Westerly,Strong,None,Weak,Marked,IncCapDecIns,Increasing,Neutral,Increasing,SIG,Aug20_Sep15,K,CThruK,PartInhibit,Average,MoreThanAve,K,N5GtLIGt_8,Neutral,MoreUnstable,MoreUnstable,ACEFK,None,Moderate,Strong,K,XNIL,SIG,SIG,Other,ModerateOrLe,VeryMoist,ModerateOrLe,StrongFront,DryMMoistL,None,PosToNeg,Moving,SWQuad,Westerly,SEQuad
2194,Neutral,Neutral,WeakUp,Neutral,Neutral,Neutral,Wet,VeryWet,VeryWet,PC,PC,PC,PC,Weak,Strong,Other,None,None,Weak,None,IncCapDecIns,Increasing,Neutral,Increasing,XNIL,May15_Jun14,I,CThruK,Stifling,MoreThanAve,MoreThanAve,ABI,N5GtLIGt_8,Stability,Average,MoreUnstable,HI,None,Weak,Slight,I,SVR,SIG,SIG,Other,CloseToDryAd,Dry,CloseToDryAd,OtherRapid,MoistMDryL,E_W_S,PosToNeg,QStationary,SWQuad,LVorOther,E_NE
2357,WeakUp,Neutral,Down,Down,Down,Dry,Neutral,Wet,Dry,PC,PC,PC,PC,None,Weak,DCVZFavor,None,None,Weak,None,DecCapIncIns,Decreasing,Negative,Decreasing,SIG,Jul16_Aug10,J,CThruK,PartInhibit,Average,LessThanAve,CDEJ,N1GtLIGt_4,Instability,Average,LessUnstable,GJ,None,Moderate,Strong,J,XNIL,XNIL,SIG,LowMtsHighPl,CloseToDryAd,Average,CloseToDryAd,NoMajor,MoistMDryL,DryLine,LittleChange,Other,LV,LVorOther,LongAnticyc
3425,Neutral,Neutral,Neutral,Neutral,Neutral,Dry,Neutral,Dry,Dry,PC,Clear,PC,Clear,Weak,Weak,Westerly,Weak,Weak,None,None,DecCapIncIns,Decreasing,StrongPos,Increasing,SIG,May15_Jun14,E,CThruK,Stifling,MoreThanAve,Average,CDEJ,N1GtLIGt_4,Stability,LessUnstable,MoreUnstable,ACEFK,Stifling,Weak,None,E,XNIL,XNIL,SIG,LowNHighS,CloseToDryAd,Dry,Steep,NoMajor,MoistMDryL,DryLine,PosToNeg,None,SWQuad,LVorOther,SEQuad
3979,StrongUp,Neutral,Neutral,StrongUp,StrongUp,Neutral,Dry,Dry,Dry,Clear,Cloudy,Clear,PC,None,None,DCVZFavor,None,Strong,Weak,None,IncCapDecIns,Increasing,Negative,LittleChange,XNIL,Jun15_Jul1,A,AB,None,LessThanAve,Average,ABI,N1GtLIGt_4,Instability,LessUnstable,LessUnstable,ACEFK,PartInhibit,Weak,None,A,XNIL,XNIL,XNIL,Other,ModerateOrLe,VeryMoist,CloseToDryAd,MarkedUpper,DryMMoistL,DenvCyclone,NegToPos,QStationary,SWQuad,Westerly,DenvCyclone
911,StrongUp,Neutral,Down,WeakUp,WeakUp,Neutral,Neutral,Neutral,Dry,PC,Cloudy,PC,PC,Strong,Strong,StrongWest,Strong,Weak,Strong,Marked,IncCapDecIns,Increasing,WeakPos,Increasing,SVR,Jul16_Aug10,E,CThruK,None,LessThanAve,Average,CDEJ,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,ACEFK,None,Strong,Strong,E,SVR,SVR,SVR,LowEvrywhere,Steep,Dry,ModerateOrLe,NoMajor,MoistMDryL,DryLine,LittleChange,None,SWQuad,Westerly,WidespdDnsl
3145,Down,Neutral,Down,Neutral,Neutral,Neutral,Dry,Neutral,Neutral,PC,Clear,Clear,Clear,None,Weak,DCVZFavor,Weak,Weak,Weak,Some,DecCapIncIns,Decreasing,WeakPos,LittleChange,SIG,Aug20_Sep15,H,CThruK,PartInhibit,Average,LessThanAve,H,N1GtLIGt_4,Neutral,LessUnstable,LessUnstable,HI,None,Weak,None,H,XNIL,XNIL,SIG,LowMtsHighPl,ModerateOrLe,VeryMoist,ModerateOrLe,MarkedUpper,DryMMoistL,Other,LittleChange,None,NWQuad,LVorOther,E_NE
999,StrongUp,WeakUp,Neutral,WeakUp,WeakUp,VeryWet,Dry,VeryWet,VeryWet,Clear,Clear,Clear,PC,None,None,Westerly,None,Strong,None,None,LittleChange,LittleChange,Neutral,Decreasing,XNIL,Jul16_Aug10,F,CThruK,PartInhibit,Average,Average,F,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,ACEFK,PartInhibit,Weak,Slight,F,XNIL,XNIL,XNIL,HighEvrywher,ModerateOrLe,VeryMoist,ModerateOrLe,StrongFront,Other,DenvCyclone,NegToPos,Other,AllElse,LVorOther,LV
3653,Neutral,WeakUp,WeakUp,Neutral,Neutral,Dry,Wet,VeryWet,VeryWet,PC,PC,PC,PC,Weak,Weak,Westerly,Weak,None,None,Some,DecCapIncIns,Decreasing,StrongPos,Increasing,XNIL,Aug20_Sep15,K,CThruK,None,Average,LessThanAve,K,N1GtLIGt_4,Stability,LessUnstable,MoreUnstable,ACEFK,PartInhibit,Moderate,None,K,XNIL,XNIL,XNIL,LowNHighS,Stable,Average,Steep,MarkedUpper,Other,MovingFtorOt,SigNegative,Moving,AllElse,Westerly,LongAnticyc
2483,Neutral,Neutral,WeakUp,Neutral,Neutral,Dry,Dry,Dry,Dry,Clear,Clear,Clear,Clear,Strong,Strong,Other,Strong,Strong,Strong,None,DecCapIncIns,Decreasing,WeakPos,Increasing,SIG,Jun15_Jul1,J,CThruK,PartInhibit,Average,LessThanAve,CDEJ,N1GtLIGt_4,Instability,LessUnstable,LessUnstable,GJ,None,Unfavorable,Slight,J,SIG,SIG,SIG,LowSHighN,ModerateOrLe,Average,ModerateOrLe,NoMajor,MoistMDryL,DryLine,PosToNeg,Other,LV,LVorOther,LV
4076,StrongUp,Down,Neutral,Down,Down,Wet,Wet,Wet,Wet,Clear,Clear,Clear,Clear,Weak,Strong,DCVZFavor,Strong,Strong,Strong,Marked,IncCapDecIns,Increasing,Neutral,LittleChange,SIG,May15_Jun14,B,AB,PartInhibit,LessThanAve,Average,ABI,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,B,PartInhibit,Weak,Moderate,B,SVR,SVR,SVR,LowMtsHighPl,Steep,VeryMoist,Steep,NoMajor,Other,DenvCyclone,LittleChange,QStationary,LV,Westerly,DenvCyclone
2370,WeakUp,StronUp,WeakUp,StrongUp,StrongUp,Wet,Dry,Neutral,Wet,Clear,PC,Clear,PC,Weak,Strong,Westerly,Strong,None,Strong,Marked,DecCapIncIns,Decreasing,Neutral,LittleChange,SIG,Jul2_Jul15,B,AB,TotalInhibit,MoreThanAve,MoreThanAve,ABI,N5GtLIGt_8,Stability,Average,MoreUnstable,B,Stifling,Weak,Slight,B,SVR,SVR,SVR,LowAtStation,ModerateOrLe,Average,Steep,OtherRapid,DryMMoistL,DenvCyclone,PosToNeg,Other,LV,LVorOther,LV
4838,Neutral,StronUp,StrongUp,Neutral,Neutral,Dry,Dry,Dry,Dry,Clear,Cloudy,PC,PC,Weak,Weak,Other,None,None,None,None,LittleChange,LittleChange,WeakPos,Increasing,XNIL,May15_Jun14,K,CThruK,None,LessThanAve,LessThanAve,K,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,ACEFK,PartInhibit,Weak,None,K,XNIL,XNIL,XNIL,LowMtsHighPl,CloseToDryAd,Average,ModerateOrLe,StrongFront,DryMMoistL,E_W_N,SigNegative,Moving,AllElse,LVorOther,WidespdDnsl
33,WeakUp,Neutral,Down,Neutral,Neutral,Wet,VeryWet,Wet,Wet,Clear,Clear,Clear,Clear,Strong,Strong,DCVZFavor,Strong,None,Weak,Marked,IncCapDecIns,Increasing,StrongPos,Increasing,SIG,May15_Jun14,I,CThruK,PartInhibit,Average,Average,ABI,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,HI,None,Strong,Strong,I,SVR,SVR,SVR,HighEvrywher,Steep,Average,CloseToDryAd,OtherRapid,Other,MovingFtorOt,SigPositive,Moving,AllElse,LVorOther,E_NE
3789,StrongUp,Neutral,Neutral,StrongUp,StrongUp,Neutral,VeryWet,Neutral,VeryWet,PC,Clear,Clear,Cloudy,Weak,Strong,StrongWest,Strong,Weak,Weak,Some,LittleChange,LittleChange,WeakPos,LittleChange,SIG,Jul2_Jul15,I,CThruK,PartInhibit,Average,Average,ABI,LILt_8,Stability,Average,MoreUnstable,HI,None,Moderate,Strong,I,SVR,XNIL,SIG,LowSHighN,Steep,Dry,ModerateOrLe,NoMajor,Other,MovingFtorOt,PosToNeg,QStationary,LV,Westerly,E_NE
1020,Neutral,WeakUp,Neutral,Neutral,Neutral,Neutral,Dry,Neutral,Neutral,PC,PC,Cloudy,Cloudy,Weak,Weak,StrongWest,None,Weak,None,Some,IncCapDecIns,Increasing,WeakPos,Increasing,XNIL,Aug20_Sep15,H,CThruK,None,Average,Average,H,N1GtLIGt_4,Neutral,LessUnstable,LessUnstable,HI,None,Moderate,Strong,H,XNIL,XNIL,XNIL,Other,Stable,Average,Steep,NoMajor,DryMMoistL,MovingFtorOt,PosToNeg,Moving,NWQuad,Westerly,SEQuad
1647,Down,Neutral,Down,Down,Down,Dry,Dry,Neutral,Neutral,PC,Clear,Clear,Clear,Weak,Strong,DCVZFavor,Weak,None,Weak,Some,IncCapDecIns,Increasing,StrongPos,Increasing,SIG,Jun15_Jul1,B,AB,Stifling,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,B,PartInhibit,Weak,Strong,B,SVR,SVR,SVR,Other,Steep,Average,CloseToDryAd,NoMajor,DryMMoistL,DenvCyclone,LittleChange,Moving,LV,LVorOther,DenvCyclone
733,Neutral,Neutral,Down,Down,Down,Dry,VeryWet,Neutral,Neutral,PC,Clear,Clear,Clear,None,None,Westerly,None,Weak,None,None,LittleChange,LittleChange,Negative,LittleChange,XNIL,Aug11_Aug20,D,CThruK,Stifling,Average,Average,CDEJ,N1GtLIGt_4,Neutral,Average,Average,D,None,Moderate,Strong,D,XNIL,SIG,SIG,LowSHighN,CloseToDryAd,Dry,CloseToDryAd,MarkedUpper,Other,DryLine,SigNegative,Moving,SWQuad,Westerly,SEQuad
4582,StrongUp,Neutral,Neutral,WeakUp,WeakUp,Dry,Neutral,Wet,VeryWet,PC,Clear,Clear,PC,Strong,Strong,DCVZFavor,Weak,None,Weak,Some,LittleChange,LittleChange,Neutral,LittleChange,SVR,Aug20_Sep15,I,CThruK,PartInhibit,Average,Average,ABI,N1GtLIGt_4,Instability,LessUnstable,LessUnstable,HI,None,Moderate,Strong,I,XNIL,XNIL,SVR,LowSHighN,ModerateOrLe,Average,CloseToDryAd,OtherRapid,DryMMoistL,E_W_S,PosToNeg,QStationary,NWQuad,LVorOther,WidespdDnsl
3274,StrongUp,WeakUp,Neutral,WeakUp,WeakUp,Wet,Neutral,Wet,Wet,PC,Clear,PC,Cloudy,Strong,Strong,Other,None,Weak,Weak,None,IncCapDecIns,Increasing,Neutral,LittleChange,SIG,Aug20_Sep15,D,CThruK,Stifling,LessThanAve,Average,CDEJ,LIGt0,Stability,LessUnstable,LessUnstable,D,None,Weak,Slight,D,SIG,SIG,SIG,LowSHighN,ModerateOrLe,Dry,Steep,OtherRapid,Other,None,PosToNeg,Other,NWQuad,Westerly,DenvCyclone
1620,WeakUp,Neutral,StrongUp,WeakUp,WeakUp,Dry,Neutral,Dry,Neutral,Clear,Clear,Clear,PC,Strong,Strong,DCVZFavor,Weak,None,Weak,Marked,DecCapIncIns,Decreasing,Neutral,LittleChange,SIG,Jul16_Aug10,K,CThruK,PartInhibit,Average,Average,K,N1GtLIGt_4,Neutral,MoreUnstable,MoreUnstable,ACEFK,None,Moderate,Moderate,K,XNIL,XNIL,SIG,LowNHighS,ModerateOrLe,VeryMoist,CloseToDryAd,StrongFront,DryMMoistL,MovingFtorOt,SigPositive,None,AllElse,LVorOther,WidespdDnsl
3135,StrongUp,Neutral,WeakUp,WeakUp,WeakUp,Neutral,Dry,Neutral,Neutral,Clear,PC,Clear,Clear,Weak,Strong,Other,None,Weak,Weak,None,LittleChange,LittleChange,WeakPos,LittleChange,XNIL,Aug20_Sep15,K,CThruK,None,LessThanAve,LessThanAve,K,N1GtLIGt_4,Instability,Average,MoreUnstable,ACEFK,TotalInhibit,Weak,None,K,XNIL,XNIL,XNIL,Other,Steep,Dry,ModerateOrLe,MarkedUpper,MoistMDryL,MovingFtorOt,SigPositive,QStationary,AllElse,Westerly,SEQuad
2689,WeakUp,Neutral,Neutral,Neutral,Neutral,Wet,Neutral,Neutral,Wet,Clear,Clear,Clear,Clear,Weak,Strong,DCVZFavor,Strong,Weak,Weak,Marked,IncCapDecIns,Increasing,WeakPos,Increasing,SIG,Jun15_Jul1,C,CThruK,PartInhibit,Average,MoreThanAve,CDEJ,N1GtLIGt_4,Neutral,Average,MoreUnstable,ACEFK,None,Moderate,Moderate,C,XNIL,XNIL,SIG,LowEvrywhere,Steep,Dry,CloseToDryAd,MarkedUpper,Other,E_W_S,PosToNeg,QStationary,AllElse,LVorOther,WidespdDnsl
2707,StrongUp,Neutral,Neutral,WeakUp,WeakUp,Wet,Neutral,VeryWet,Wet,PC,PC,Cloudy,Cloudy,Strong,Strong,StrongWest,Strong,Weak,Strong,Marked,LittleChange,LittleChange,StrongPos,Increasing,XNIL,Aug20_Sep15,G,CThruK,Stifling,Average,Average,G,N5GtLIGt_8,Stability,Average,MoreUnstable,GJ,Stifling,Strong,Moderate,G,XNIL,XNIL,XNIL,LowEvrywhere,CloseToDryAd,Dry,CloseToDryAd,NoMajor,MoistMDryL,DryLine,PosToNeg,None,LV,LVorOther,LV
297,Down,StronUp,Down,Neutral,Neutral,Dry,VeryWet,VeryWet,VeryWet,Clear,PC,Clear,Clear,Strong,Strong,StrongWest,Strong,Weak,Weak,Marked,LittleChange,LittleChange,Negative,Decreasing,SIG,Aug20_Sep15,E,CThruK,None,LessThanAve,LessThanAve,CDEJ,N1GtLIGt_4,Stability,Average,LessUnstable,ACEFK,TotalInhibit,Weak,None,E,XNIL,XNIL,SIG,LowSHighN,Stable,Dry,ModerateOrLe,NoMajor,MoistMDryL,None,LittleChange,None,SWQuad,Westerly,DenvCyclone
2339,StrongUp,Down,StrongUp,StrongUp,StrongUp,Neutral,VeryWet,VeryWet,VeryWet,Clear,Clear,Clear,Clear,Weak,Strong,StrongWest,Weak,Weak,Weak,Marked,DecCapIncIns,Decreasing,WeakPos,LittleChange,SIG,Jul16_Aug10,C,CThruK,Stifling,MoreThanAve,Average,CDEJ,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,ACEFK,PartInhibit,Moderate,Slight,C,SIG,SIG,SIG,LowEvrywhere,Steep,Average,ModerateOrLe,StrongFront,MoistMDryL,E_W_N,PosToNeg,Other,AllElse,Westerly,LongAnticyc
653,Neutral,WeakUp,Neutral,Neutral,Neutral,Neutral,VeryWet,Neutral,Neutral,PC,PC,Clear,Clear,Weak,Strong,Westerly,Strong,Weak,Strong,Marked,DecCapIncIns,Decreasing,Negative,Decreasing,XNIL,Aug20_Sep15,B,AB,PartInhibit,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Neutral,LessUnstable,LessUnstable,B,None,Moderate,Strong,B,SVR,SVR,SVR,HighEvrywher,Steep,Average,Steep,MarkedUpper,DryMMoistL,E_W_N,PosToNeg,Other,AllElse,LVorOther,DenvCyclone
3774,Neutral,Down,Down,Down,Down,VeryWet,Wet,VeryWet,Wet,Cloudy,PC,Cloudy,Cloudy,None,Weak,DCVZFavor,None,Strong,Weak,Some,LittleChange,LittleChange,WeakPos,Increasing,SIG,May15_Jun14,H,CThruK,PartInhibit,Average,Average,H,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,HI,None,Weak,Strong,H,XNIL,XNIL,SIG,HighEvrywher,Stable,Average,CloseToDryAd,MarkedUpper,DryMMoistL,MovingFtorOt,SigPositive,Moving,LV,LVorOther,E_NE
1255,Neutral,Neutral,Neutral,Neutral,Neutral,VeryWet,Dry,Neutral,Wet,PC,PC,Clear,PC,Weak,Weak,DCVZFavor,Strong,None,Strong,Some,IncCapDecIns,Increasing,Negative,Decreasing,XNIL,May15_Jun14,I,CThruK,PartInhibit,Average,Average,ABI,N1GtLIGt_4,Stability,Average,LessUnstable,HI,None,Moderate,Strong,I,SIG,SIG,SIG,LowSHighN,Steep,Dry,Steep,NoMajor,MoistMDryL,Other,NegToPos,QStationary,SWQuad,Westerly,E_NE
4520,Down,Neutral,Neutral,Neutral,Neutral,Wet,Wet,Neutral,Neutral,Clear,PC,Clear,Clear,None,None,DCVZFavor,None,Strong,Weak,None,LittleChange,LittleChange,Neutral,LittleChange,XNIL,Jul16_Aug10,E,CThruK,PartInhibit,Average,Average,CDEJ,N1GtLIGt_4,Stability,Average,Average,ACEFK,None,Weak,Slight,E,XNIL,XNIL,XNIL,LowAtStation,Steep,Average,ModerateOrLe,NoMajor,Other,None,PosToNeg,None,LV,LVorOther,DenvCyclone
230,Down,WeakUp,Neutral,Down,Down,VeryWet,VeryWet,Wet,Neutral,Cloudy,PC,Cloudy,Cloudy,Weak,Strong,DCVZFavor,Strong,None,Strong,Marked,IncCapDecIns,Increasing,WeakPos,Decreasing,XNIL,Jul16_Aug10,B,AB,TotalInhibit,MoreThanAve,MoreThanAve,ABI,N1GtLIGt_4,Neutral,LessUnstable,LessUnstable,B,PartInhibit,Moderate,None,B,XNIL,XNIL,XNIL,LowMtsHighPl,Steep,Average,Steep,NoMajor,MoistMDryL,DryLine,LittleChange,None,AllElse,Westerly,SEQuad
3276,Down,Neutral,WeakUp,Down,Down,Wet,VeryWet,Wet,Dry,Clear,PC,Clear,Clear,Weak,Strong,DCVZFavor,Strong,None,Strong,Marked,IncCapDecIns,Increasing,Neutral,Increasing,SIG,Jul16_Aug10,J,CThruK,TotalInhibit,MoreThanAve,MoreThanAve,CDEJ,N1GtLIGt_4,Stability,LessUnstable,MoreUnstable,GJ,None,Strong,Moderate,J,XNIL,XNIL,SIG,LowEvrywhere,Stable,Average,ModerateOrLe,NoMajor,MoistMDryL,DryLine,LittleChange,Other,LV,LVorOther,LongAnticyc
3230,WeakUp,Neutral,Neutral,Neutral,Neutral,Wet,Neutral,Wet,Wet,Cloudy,Clear,PC,PC,Weak,Strong,DCVZFavor,Strong,None,Weak,Some,LittleChange,LittleChange,Neutral,Decreasing,XNIL,May15_Jun14,J,CThruK,None,LessThanAve,LessThanAve,CDEJ,N1GtLIGt_4,Neutral,Average,Average,GJ,PartInhibit,Strong,Strong,J,XNIL,XNIL,XNIL,LowMtsHighPl,Steep,Average,Steep,NoMajor,MoistMDryL,DryLine,LittleChange,Other,LV,LVorOther,DenvCyclone
691,StrongUp,Down,Neutral,Neutral,Neutral,VeryWet,Neutral,VeryWet,VeryWet,PC,Clear,PC,PC,Strong,Strong,DCVZFavor,Strong,None,Weak,Marked,IncCapDecIns,Increasing,StrongPos,Increasing,SVR,Jul2_Jul15,A,AB,None,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Instability,LessUnstable,LessUnstable,ACEFK,None,Moderate,Moderate,A,XNIL,XNIL,SVR,LowMtsHighPl,Steep,Average,Steep,OtherRapid,Other,DenvCyclone,SigNegative,None,SWQuad,Westerly,DenvCyclone
2754,WeakUp,Neutral,WeakUp,WeakUp,WeakUp,Dry,Neutral,Dry,Dry,Cloudy,Clear,Cloudy,Clear,Strong,Strong,Other,Weak,Weak,Weak,None,LittleChange,LittleChange,Neutral,Increasing,SVR,Jul16_Aug10,J,CThruK,PartInhibit,Average,Average,CDEJ,N1GtLIGt_4,Instability,LessUnstable,LessUnstable,GJ,None,Moderate,Slight,J,XNIL,XNIL,SVR,LowAtStation,Stable,Average,Steep,NoMajor,DryMMoistL,DryLine,LittleChange,Other,LV,LVorOther,LV
4863,Neutral,Down,WeakUp,Neutral,Neutral,Dry,Neutral,VeryWet,Wet,PC,PC,PC,PC,Strong,Strong,Other,None,None,None,None,IncCapDecIns,Increasing,StrongPos,Increasing,XNIL,Jul16_Aug10,C,CThruK,PartInhibit,Average,MoreThanAve,CDEJ,N1GtLIGt_4,Neutral,MoreUnstable,MoreUnstable,ACEFK,None,Weak,Slight,C,XNIL,XNIL,XNIL,LowAtStation,Steep,Dry,CloseToDryAd,OtherRapid,MoistMDryL,E_W_N,SigNegative,QStationary,NWQuad,Westerly,WidespdDnsl
969,StrongUp,Neutral,WeakUp,WeakUp,WeakUp,Neutral,VeryWet,Neutral,Wet,PC,Cloudy,PC,Cloudy,None,None,Other,None,Weak,Weak,None,DecCapIncIns,Decreasing,StrongPos,Increasing,XNIL,Jul16_Aug10,E,CThruK,PartInhibit,Average,LessThanAve,CDEJ,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,ACEFK,None,Weak,Slight,E,XNIL,XNIL,XNIL,LowNHighS,CloseToDryAd,VeryMoist,Steep,OtherRapid,MoistMDryL,None,LittleChange,None,SWQuad,Westerly,SEQuad
633,StrongUp,Neutral,Neutral,Neutral,Neutral,VeryWet,VeryWet,VeryWet,VeryWet,PC,Clear,PC,PC,Weak,Strong,Westerly,Strong,None,Weak,Some,IncCapDecIns,Increasing,StrongPos,Increasing,SIG,Aug11_Aug20,B,AB,Stifling,MoreThanAve,MoreThanAve,ABI,N1GtLIGt_4,Neutral,LessUnstable,Average,B,None,Moderate,Moderate,B,SIG,SIG,SIG,LowMtsHighPl,Stable,Average,CloseToDryAd,NoMajor,MoistMDryL,DenvCyclone,SigPositive,Moving,SWQuad,Westerly,E_NE
